epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,166.442,2.42051,2.32429,2.35392,0.09341,1,0.995,0.398,2.04664,30.7306,3.35581,0.0001962,0.0001962,0.0001962
92,168.647,1.80455,1.70125,1.80472,0.41291,1,0.995,0.796,1.41936,10.9843,2.56341,0.000180362,0.000180362,0.000180362
93,170.732,2.13398,2.32981,2.00152,0.41291,1,0.995,0.796,1.41936,10.9843,2.56341,0.000164128,0.000164128,0.000164128
94,172.78,1.99484,2.02123,1.88069,0.41291,1,0.995,0.796,1.41936,10.9843,2.56341,0.000147498,0.000147498,0.000147498
95,174.907,1.65696,1.56075,1.85853,0.41291,1,0.995,0.796,1.41936,10.9843,2.56341,0.000130472,0.000130472,0.000130472
96,177.047,1.8846,2.08856,1.88732,0.47149,1,0.995,0.6965,1.55997,6.2505,2.41736,0.00011305,0.00011305,0.00011305
97,178.971,1.5877,1.76275,1.78281,0.47149,1,0.995,0.6965,1.55997,6.2505,2.41736,9.5232e-05,9.5232e-05,9.5232e-05
98,180.816,2.05271,1.847,2.08013,0.47149,1,0.995,0.6965,1.55997,6.2505,2.41736,7.7018e-05,7.7018e-05,7.7018e-05
99,182.645,1.49028,1.77287,1.88214,0.47149,1,0.995,0.6965,1.55997,6.2505,2.41736,5.8408e-05,5.8408e-05,5.8408e-05
100,184.57,1.91682,1.89154,1.87544,0.57375,1,0.995,0.6965,1.48203,3.86367,2.20349,3.9402e-05,3.9402e-05,3.9402e-05
